100,16,324.152
500,16,1872.54
1000,16,3613.72
2000,16,7220.13
3000,16,11149.3
4000,16,14860
5000,16,2.74123e+09
100,32,269.774
500,32,1812.24
1000,32,3739.78
2000,32,7493.01
3000,32,11135.1
4000,32,14890.5
5000,32,18610.2
100,64,204.987
500,64,1800.13
1000,64,3637.01
2000,64,7485.71
3000,64,10817.9
4000,64,14450.3
5000,64,18046
100,256,116.695
500,256,1030.66
1000,256,2892.18
2000,256,7263.19
3000,256,10982.8
4000,256,14955.4
5000,256,18074.9
100,384,118.798
500,384,1006.94
1000,384,2150.68
2000,384,6739.67
3000,384,10848.9
4000,384,14606
5000,384,18156.5
100,512,118.856
500,512,595.747
1000,512,2063.07
2000,512,5553.35
3000,512,8946.56
4000,512,14440.1
5000,512,18214.2
100,768,114.543
500,768,594.051
1000,768,2060.43
2000,768,4267.16
3000,768,8332.22
4000,768,11922.2
5000,768,16833.9
100,1024,121.117
500,1024,594.978
1000,1024,1190.18
2000,1024,4021.49
3000,1024,6454.22
4000,1024,11560
5000,1024,14827
